gene,ko_l2_mean_70d,ko_l2_mean_115d
CCP110,0.011565752,0.008587056
SASH1,0.011552779,0.02379706
BTBD9,0.011511289,0.017467394
ADGRL2,0.011496052,0.027496522
SV2C,0.011427465,0.0030555914
MOXD1,0.011233228,0.050006647
ELAVL2,0.011220965,0.009461188
BUB1,0.011031526,0.0060976055
FZD2,0.010973907,0.010788212
NEUROG2-AS1,0.0109591745,0.0012467259
SEL1L3,0.010849919,0.04215967
ABRACL,0.010848602,0.002323802
RAB34,0.010829372,0.004639169
PRELID2,0.01081921,0.025817383
NETO2,0.010784478,0.012198965
MON2,0.010778148,0.017718779
RNF220,0.010752374,0.02757929
GNG3,0.010734611,0.0044880356
IL33,0.0107296705,0.011947207
NSG1,0.010726355,0.0073789074
RALYL,0.010694524,0.0328547
CHST11,0.010647645,0.034659952
HES5,0.010631969,0.03178591
AGBL4,0.010614397,0.041808695
ZDHHC21,0.010590616,0.018016523
PDE3A,0.010542659,0.04352262
SLC4A10,0.0105423,0.014030098
ADAMTSL1,0.010446362,0.029973973
ANKRD30BL,0.010340217,0.012974155
ZNF766,0.010325674,0.0047875238
STRADA,0.010319639,0.010161324
ATP1A2,0.010307361,0.05310715
OPCML,0.010254365,0.027089037
